School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
Hukarere College,Secondary,Secondary (Year 9-15),State: Integrated,2,Single Sex-Girls,Organisational Affiliation,Māori Trusts,Secondary Māori Boarding School,Not a Kura School,Hawkes Bay,Hastings
Hukerenui School Years 1-8,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Hunterville Consolidated School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Rangitikei
Huntley School (Marton),Primary,Full Primary,Private: Fully Reg.,8,Co-Ed,Religious Affiliation,Anglican,School with Boarding Facilities,Not a Kura School,Manawatu-Whanganui,Rangitikei
Huntly College,Secondary,Secondary (Year 9-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Huntly School (Waikato),Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Huntly West School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Hunua School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Hurunui College,Composite,Composite (Year 1-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Hurunui
Hurupaki School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Hutt Central School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Hutt Intermediate,Primary,Intermediate,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Hutt International Boys' School,Secondary,Secondary (Year 7-15),State: Integrated,10,Single Sex-Boys,Religious Affiliation,Anglican,Not Applicable,Not a Kura School,Wellington,Upper Hutt
Hutt Valley High School,Secondary,Secondary (Year 9-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Ilam School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Ilminster Intermediate,Primary,Intermediate,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Inglewood High School,Secondary,Secondary (Year 9-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Inglewood School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Insoll Avenue School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Invercargill Middle School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Invercargill
Iona College,Secondary,Secondary (Year 7-15),State: Integrated,10,Single Sex-Girls,Religious Affiliation,Presbyterian,School with Boarding Facilities,Not a Kura School,Hawkes Bay,Hastings
Iqra Elementary,Primary,Contributing,Private: Fully Reg.,NA,Co-Ed,Religious Affiliation,Muslim,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Irongate School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Island Bay School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Isleworth School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
James Cook High School,Secondary,Secondary (Year 9-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
James Cook School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Rangitikei
James Hargest College,Secondary,Secondary (Year 7-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Invercargill
James Street School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Whakatane
Jean Batten School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Mangere-Otahuhu
Jean Seabrook Memorial School,Primary,Full Primary,Private: Fully Reg.,NA,Co-Ed,Organisational Affiliation,Trust,Sch. for Learning/Social Difficulties,Not a Kura School,Canterbury,Christchurch
Jireh Christian School,Primary,Full Primary,State: Integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
John McGlashan College,Secondary,Secondary (Year 7-15),State: Integrated,10,Single Sex-Boys,Religious Affiliation,Presbyterian,School with Boarding Facilities,Not a Kura School,Otago,Dunedin
John Paul College,Secondary,Secondary (Year 7-15),State: Integrated,7,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
John Paul II High School,Secondary,Secondary (Year 9-15),State: Integrated,6,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,West Coast,Grey
Johnsonville School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Kadimah School,Primary,Full Primary,State: Integrated,8,Co-Ed,Religious Affiliation,Jewish,Not Applicable,Not a Kura School,Auckland,Auckland: Waitemata
Kaeo School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Kaharoa School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
Kahurangi School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Kahutara School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,South Wairarapa
Kai Iwi School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Kaiapoi Borough School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Kaiapoi High School,Secondary,Secondary (Year 9-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Kaiapoi North School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Kaiaua School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hauraki
Kaihere School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hauraki
Kaihu Valley School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Kaipara
Kaikohe Christian School,Composite,Composite (Year 1-15),State: Integrated,2,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Northland,Far North
Kaikohe East School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Kaikohe Intermediate,Primary,Intermediate,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Kaikohe West School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Kaikorai School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Kaikorai Valley College,Secondary,Secondary (Year 7-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Kaikoura High School,Secondary,Secondary (Year 7-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Kaikoura
Kaikoura Primary School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Kaikoura
Kaikoura Suburban School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Kaikoura
Kaimai School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Kaimata School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Kaingaroa Forest School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
Kaingaroa School (Chatham Islands),Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Chatham Is. County,Chatham Islands Territory
Kaingaroa School (Kaitaia),Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Kaipaki School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Kaipara College,Secondary,Secondary (Year 9-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Kaipara Flats School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Kairanga School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Kaitaia Abundant Life School,Composite,Composite (Year 1-15),State: Integrated,2,Co-Ed,Religious Affiliation,Abundant Life Centre,Not Applicable,Not a Kura School,Northland,Far North
Kaitaia College,Secondary,Secondary (Year 9-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Kaitaia Intermediate,Primary,Intermediate,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Kaitaia School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Kaitangata School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Kaitao Intermediate,Primary,Intermediate,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
Kaiti School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual Year 7-8 School,Not a Kura School,Gisborne,Gisborne
Kaitieke School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Ruapehu
Kaitoke School (Claris),Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Great Barrier
Kaitoke School (Wanganui),Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Kaiwaka School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Kaipara
Kakanui School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Waitaki
Kakaramea School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Kakatahi School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Kamo High School,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Kamo Intermediate,Primary,Intermediate,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Kamo School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Kaniere School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Westland
Kapanui School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Kapiti Coast
Kapiti College,Secondary,Secondary (Year 9-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Kapiti Coast
Kapiti School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Kapiti Coast
Kaponga School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Karaka School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Karamea Area School,Composite,Composite (Year 1-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Buller
Karamu High School,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Karanga Mai Young Parents College,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Karangahake School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hauraki
Karapiro School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Karetu School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Karitane School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Karori Normal School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Wellington,Wellington
Karori West Normal School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Normal School,Not a Kura School,Wellington,Wellington
Karoro School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Grey
Katikati College,Secondary,Secondary (Year 7-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Katikati Primary School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Western Bay of Plenty
Kaukapakapa School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Kauri Flats School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Papakura
Kauri Park School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Kaurihohore School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
